"Position";"Date_short";"value";"RDate";"System";"SampleType";"FlowDirection"
"HM_IN";"2017/02/01";578.291666666667;2017-02-01;"HM";"In";"HF"
"HM_IN";"2017/03/01";543.018518518519;2017-03-01;"HM";"In";"HF"
"HM_IN";"2017/04/01";511.814814814815;2017-04-01;"HM";"In";"HF"
"HM_IN";"2017/05/01";562.181481481482;2017-05-01;"HM";"In";"HF"
"HM_IN";"2017/06/01";552.054545454546;2017-06-01;"HM";"In";"HF"
"HM_IN";"2017/07/01";578.272;2017-07-01;"HM";"In";"HF"
"HM_IN";"2017/08/01";578.184;2017-08-01;"HM";"In";"HF"
"HM_OUT";"2017/01/01";551.028461538462;2017-01-01;"HM";"Out";"HF"
"HM_OUT";"2017/02/01";548.101666666667;2017-02-01;"HM";"Out";"HF"
"HM_OUT";"2017/03/01";555.528518518518;2017-03-01;"HM";"Out";"HF"
"HM_OUT";"2017/04/01";594.833703703704;2017-04-01;"HM";"Out";"HF"
"HM_OUT";"2017/05/01";535.19037037037;2017-05-01;"HM";"Out";"HF"
"HM_OUT";"2017/06/01";496.404545454545;2017-06-01;"HM";"Out";"HF"
"HM_OUT";"2017/07/01";520.9948;2017-07-01;"HM";"Out";"HF"
"HM_OUT";"2017/08/01";517.046;2017-08-01;"HM";"Out";"HF"
"HMc_IN";"2017/01/01";578.330769230769;2017-01-01;"HMc";"In";"HF"
"HMc_IN";"2017/02/01";578.254166666667;2017-02-01;"HMc";"In";"HF"
"HMc_IN";"2017/03/01";543.940740740741;2017-03-01;"HMc";"In";"HF"
"HMc_IN";"2017/04/01";511.474074074074;2017-04-01;"HMc";"In";"HF"
"HMc_IN";"2017/05/01";562.492592592593;2017-05-01;"HMc";"In";"HF"
"HMc_IN";"2017/06/01";552.209090909091;2017-06-01;"HMc";"In";"HF"
"HMc_IN";"2017/07/01";578.228;2017-07-01;"HMc";"In";"HF"
"HMc_IN";"2017/08/01";578.296;2017-08-01;"HMc";"In";"HF"
"HMc_OUT";"2017/01/01";558.385;2017-01-01;"HMc";"Out";"HF"
"HMc_OUT";"2017/02/01";556.585416666667;2017-02-01;"HMc";"Out";"HF"
"HMc_OUT";"2017/03/01";562.384074074074;2017-03-01;"HMc";"Out";"HF"
"HMc_OUT";"2017/04/01";599.175555555556;2017-04-01;"HMc";"Out";"HF"
"HMc_OUT";"2017/05/01";544.102592592593;2017-05-01;"HMc";"Out";"HF"
"HMc_OUT";"2017/06/01";509.305454545455;2017-06-01;"HMc";"Out";"HF"
"HMc_OUT";"2017/07/01";529.386;2017-07-01;"HMc";"Out";"HF"
"HMc_OUT";"2017/08/01";529.386;2017-08-01;"HMc";"Out";"HF"
"R_IN";"2017/01/01";1219.46666666667;2017-01-01;"R";"In";"VF"
"R_IN";"2017/02/01";1419.27083333333;2017-02-01;"R";"In";"VF"
"R_IN";"2017/03/01";1415.6;2017-03-01;"R";"In";"VF"
"R_IN";"2017/04/01";1444.55185185185;2017-04-01;"R";"In";"VF"
"R_IN";"2017/05/01";1444.5962962963;2017-05-01;"R";"In";"VF"
"R_IN";"2017/06/01";1390.46;2017-06-01;"R";"In";"VF"
"R_IN";"2017/07/01";1444.544;2017-07-01;"R";"In";"VF"
"R_IN";"2017/08/01";1444.496;2017-08-01;"R";"In";"VF"
"R_OUT";"2017/01/01";546.994230769231;2017-01-01;"R";"Out";"VF"
"R_OUT";"2017/02/01";1069.20958333333;2017-02-01;"R";"Out";"VF"
"R_OUT";"2017/03/01";1057.12666666667;2017-03-01;"R";"Out";"VF"
"R_OUT";"2017/04/01";1087.06259259259;2017-04-01;"R";"Out";"VF"
"R_OUT";"2017/05/01";1077.00777777778;2017-05-01;"R";"Out";"VF"
"R_OUT";"2017/06/01";942.046818181818;2017-06-01;"R";"Out";"VF"
"R_OUT";"2017/07/01";1087.6476;2017-07-01;"R";"Out";"VF"
"R_OUT";"2017/08/01";1080.2436;2017-08-01;"R";"Out";"VF"
"VA_IN";"2017/01/01";488.453333333333;2017-01-01;"VA";"In";"VF"
"VA_IN";"2017/02/01";567.216666666667;2017-02-01;"VA";"In";"VF"
"VA_IN";"2017/03/01";565.722222222222;2017-03-01;"VA";"In";"VF"
"VA_IN";"2017/04/01";578.155555555556;2017-04-01;"VA";"In";"VF"
"VA_IN";"2017/05/01";578.174074074074;2017-05-01;"VA";"In";"VF"
"VA_IN";"2017/06/01";565.521052631579;2017-06-01;"VA";"In";"VF"
"VA_IN";"2017/07/01";578.152;2017-07-01;"VA";"In";"VF"
"VA_IN";"2017/08/01";578.148;2017-08-01;"VA";"In";"VF"
"VA_OUT";"2017/01/01";346.247619047619;2017-01-01;"VA";"Out";"VF"
"VA_OUT";"2017/02/01";550.270833333333;2017-02-01;"VA";"Out";"VF"
"VA_OUT";"2017/03/01";542.222222222222;2017-03-01;"VA";"Out";"VF"
"VA_OUT";"2017/04/01";559.618518518518;2017-04-01;"VA";"Out";"VF"
"VA_OUT";"2017/05/01";549.225925925926;2017-05-01;"VA";"Out";"VF"
"VA_OUT";"2017/06/01";498.675;2017-06-01;"VA";"Out";"VF"
"VA_OUT";"2017/07/01";549.976;2017-07-01;"VA";"Out";"VF"
"VA_OUT";"2017/08/01";545.584;2017-08-01;"VA";"Out";"VF"
"VAp_IN";"2017/01/01";456.246666666667;2017-01-01;"VAp";"In";"VF"
"VAp_IN";"2017/02/01";566.220833333333;2017-02-01;"VAp";"In";"VF"
"VAp_IN";"2017/03/01";565.677777777778;2017-03-01;"VAp";"In";"VF"
"VAp_IN";"2017/04/01";578.233333333333;2017-04-01;"VAp";"In";"VF"
"VAp_IN";"2017/05/01";578.137037037037;2017-05-01;"VAp";"In";"VF"
"VAp_IN";"2017/06/01";555.326315789474;2017-06-01;"VAp";"In";"VF"
"VAp_IN";"2017/07/01";578.14;2017-07-01;"VAp";"In";"VF"
"VAp_IN";"2017/08/01";578.2;2017-08-01;"VAp";"In";"VF"
"VAp_OUT";"2017/01/01";396.936666666667;2017-01-01;"VAp";"Out";"VF"
"VAp_OUT";"2017/02/01";559.670416666667;2017-02-01;"VAp";"Out";"VF"
"VAp_OUT";"2017/03/01";544.102592592593;2017-03-01;"VAp";"Out";"VF"
"VAp_OUT";"2017/04/01";553.928888888889;2017-04-01;"VAp";"Out";"VF"
"VAp_OUT";"2017/05/01";506.397037037037;2017-05-01;"VAp";"Out";"VF"
