"DateTime";"SystemType";"FlowDirection";"System";"SampleType";"SamplePoint";"dist_axial";"Parameter";"value"
"57";2017-04-04 10:00:00;"SoilTreatment";"VF";"WB";"Out";"WB-OUT";1;"T_lab";11.1
"58";2017-02-07 10:00:00;"SoilTreatment";"VF";"WB";"Out";"WB-OUT";1;"T_lab";9.4
"59";2017-03-07 10:00:00;"SoilTreatment";"VF";"WB";"Out";"WB-OUT";1;"T_lab";11.5
"60";2017-05-09 10:00:00;"SoilTreatment";"VF";"WB";"Out";"WB-OUT";1;"T_lab";10.8
"61";2017-04-11 10:00:00;"SoilTreatment";"VF";"WB";"Out";"WB-OUT";1;"T_lab";11.5
"62";2017-02-14 10:00:00;"SoilTreatment";"VF";"WB";"Out";"WB-OUT";1;"T_lab";9.7
"63";2017-03-14 10:00:00;"SoilTreatment";"VF";"WB";"Out";"WB-OUT";1;"T_lab";11.3
"64";2017-06-14 10:00:00;"SoilTreatment";"VF";"WB";"Out";"WB-OUT";1;"T_lab";NA
"65";2017-05-16 10:00:00;"SoilTreatment";"VF";"WB";"Out";"WB-OUT";1;"T_lab";14.7
"66";2017-04-19 10:00:00;"SoilTreatment";"VF";"WB";"Out";"WB-OUT";1;"T_lab";9.3
"67";2017-03-21 10:00:00;"SoilTreatment";"VF";"WB";"Out";"WB-OUT";1;"T_lab";10.4
"68";2017-05-22 10:00:00;"SoilTreatment";"VF";"WB";"Out";"WB-OUT";1;"T_lab";16.3
"69";2017-01-24 10:00:00;"SoilTreatment";"VF";"WB";"Out";"WB-OUT";1;"T_lab";8.8
"70";2017-04-25 10:00:00;"SoilTreatment";"VF";"WB";"Out";"WB-OUT";1;"T_lab";10.3
"71";2017-06-27 10:00:00;"SoilTreatment";"VF";"WB";"Out";"WB-OUT";1;"T_lab";NA
"72";2017-03-28 10:00:00;"SoilTreatment";"VF";"WB";"Out";"WB-OUT";1;"T_lab";9.6
"73";2017-05-30 10:00:00;"SoilTreatment";"VF";"WB";"Out";"WB-OUT";1;"T_lab";22
"74";2017-01-31 10:00:00;"SoilTreatment";"VF";"WB";"Out";"WB-OUT";1;"T_lab";6.7
"75";2017-03-01 10:00:00;"Intensified";"HF";"HAp";"Out";"HAp-OUT";1;"T_lab";11.5
"76";2017-08-01 10:00:00;"Intensified";"HF";"HAp";"Out";"HAp-OUT";1;"T_lab";20.3
"77";2017-05-02 10:00:00;"Intensified";"HF";"HAp";"Out";"HAp-OUT";1;"T_lab";11
"78";2017-01-03 10:00:00;"Intensified";"HF";"HAp";"Out";"HAp-OUT";1;"T_lab";7.3
"79";2017-04-04 10:00:00;"Intensified";"HF";"HAp";"Out";"HAp-OUT";1;"T_lab";11.5
"80";2017-07-04 10:00:00;"Intensified";"HF";"HAp";"Out";"HAp-OUT";1;"T_lab";18.9
"81";2017-02-07 10:00:00;"Intensified";"HF";"HAp";"Out";"HAp-OUT";1;"T_lab";10
"82";2017-03-07 10:00:00;"Intensified";"HF";"HAp";"Out";"HAp-OUT";1;"T_lab";10.8
"83";2017-08-08 10:00:00;"Intensified";"HF";"HAp";"Out";"HAp-OUT";1;"T_lab";21.1
"84";2017-05-09 10:00:00;"Intensified";"HF";"HAp";"Out";"HAp-OUT";1;"T_lab";10.9
"85";2017-01-10 10:00:00;"Intensified";"HF";"HAp";"Out";"HAp-OUT";1;"T_lab";8.2
"86";2017-02-14 10:00:00;"Intensified";"HF";"HAp";"Out";"HAp-OUT";1;"T_lab";10
"87";2017-03-14 10:00:00;"Intensified";"HF";"HAp";"Out";"HAp-OUT";1;"T_lab";8.8
"88";2017-06-14 10:00:00;"Intensified";"HF";"HAp";"Out";"HAp-OUT";1;"T_lab";18.1
"89";2017-08-15 10:00:00;"Intensified";"HF";"HAp";"Out";"HAp-OUT";1;"T_lab";20.6
"90";2017-05-16 10:00:00;"Intensified";"HF";"HAp";"Out";"HAp-OUT";1;"T_lab";15
"91";2017-01-17 10:00:00;"Intensified";"HF";"HAp";"Out";"HAp-OUT";1;"T_lab";7.6
"92";2017-07-18 10:00:00;"Intensified";"HF";"HAp";"Out";"HAp-OUT";1;"T_lab";19.5
"93";2017-06-20 10:00:00;"Intensified";"HF";"HAp";"Out";"HAp-OUT";1;"T_lab";20.5
"94";2017-02-21 10:00:00;"Intensified";"HF";"HAp";"Out";"HAp-OUT";1;"T_lab";9.3
"95";2017-05-22 10:00:00;"Intensified";"HF";"HAp";"Out";"HAp-OUT";1;"T_lab";16.9
"96";2017-08-22 10:00:00;"Intensified";"HF";"HAp";"Out";"HAp-OUT";1;"T_lab";18.8
"97";2017-01-24 10:00:00;"Intensified";"HF";"HAp";"Out";"HAp-OUT";1;"T_lab";7.8
"98";2017-04-25 10:00:00;"Intensified";"HF";"HAp";"Out";"HAp-OUT";1;"T_lab";11.1
"99";2017-07-25 10:00:00;"Intensified";"HF";"HAp";"Out";"HAp-OUT";1;"T_lab";19.3
"100";2017-06-27 10:00:00;"Intensified";"HF";"HAp";"Out";"HAp-OUT";1;"T_lab";19.6
"101";2017-03-28 10:00:00;"Intensified";"HF";"HAp";"Out";"HAp-OUT";1;"T_lab";12.1
"102";2017-08-29 10:00:00;"Intensified";"HF";"HAp";"Out";"HAp-OUT";1;"T_lab";19.1
"103";2017-05-30 10:00:00;"Intensified";"HF";"HAp";"Out";"HAp-OUT";1;"T_lab";19.9
"104";2017-01-31 10:00:00;"Intensified";"HF";"HAp";"Out";"HAp-OUT";1;"T_lab";10.1
"105";2017-03-01 10:00:00;"Intensified";"HF";"HA";"Out";"HA-OUT";1;"T_lab";11.1
"106";2017-08-01 10:00:00;"Intensified";"HF";"HA";"Out";"HA-OUT";1;"T_lab";20.3
"107";2017-05-02 10:00:00;"Intensified";"HF";"HA";"Out";"HA-OUT";1;"T_lab";11.2
"108";2017-01-03 10:00:00;"Intensified";"HF";"HA";"Out";"HA-OUT";1;"T_lab";7.3
"109";2017-04-04 10:00:00;"Intensified";"HF";"HA";"Out";"HA-OUT";1;"T_lab";11.5
"110";2017-07-04 10:00:00;"Intensified";"HF";"HA";"Out";"HA-OUT";1;"T_lab";18.8
"111";2017-02-07 10:00:00;"Intensified";"HF";"HA";"Out";"HA-OUT";1;"T_lab";8.9
"112";2017-03-07 10:00:00;"Intensified";"HF";"HA";"Out";"HA-OUT";1;"T_lab";12.1
"113";2017-08-08 10:00:00;"Intensified";"HF";"HA";"Out";"HA-OUT";1;"T_lab";20.8
"114";2017-05-09 10:00:00;"Intensified";"HF";"HA";"Out";"HA-OUT";1;"T_lab";10.9
"115";2017-01-10 10:00:00;"Intensified";"HF";"HA";"Out";"HA-OUT";1;"T_lab";8
"116";2017-02-14 10:00:00;"Intensified";"HF";"HA";"Out";"HA-OUT";1;"T_lab";7.6
"117";2017-03-14 10:00:00;"Intensified";"HF";"HA";"Out";"HA-OUT";1;"T_lab";9.1
"118";2017-06-14 10:00:00;"Intensified";"HF";"HA";"Out";"HA-OUT";1;"T_lab";18.2
"119";2017-08-15 10:00:00;"Intensified";"HF";"HA";"Out";"HA-OUT";1;"T_lab";20.1
"120";2017-05-16 10:00:00;"Intensified";"HF";"HA";"Out";"HA-OUT";1;"T_lab";16.1
"121";2017-07-18 10:00:00;"Intensified";"HF";"HA";"Out";"HA-OUT";1;"T_lab";19.5
"122";2017-04-19 10:00:00;"Intensified";"HF";"HA";"Out";"HA-OUT";1;"T_lab";NA
"123";2017-06-20 10:00:00;"Intensified";"HF";"HA";"Out";"HA-OUT";1;"T_lab";20.4
"124";2017-02-21 10:00:00;"Intensified";"HF";"HA";"Out";"HA-OUT";1;"T_lab";8.9
"125";2017-05-22 10:00:00;"Intensified";"HF";"HA";"Out";"HA-OUT";1;"T_lab";17.2
"126";2017-08-22 10:00:00;"Intensified";"HF";"HA";"Out";"HA-OUT";1;"T_lab";18.7
"127";2017-01-24 10:00:00;"Intensified";"HF";"HA";"Out";"HA-OUT";1;"T_lab";7.5
"128";2017-04-25 10:00:00;"Intensified";"HF";"HA";"Out";"HA-OUT";1;"T_lab";10.8
"129";2017-07-25 10:00:00;"Intensified";"HF";"HA";"Out";"HA-OUT";1;"T_lab";19.2
"130";2017-06-27 10:00:00;"Intensified";"HF";"HA";"Out";"HA-OUT";1;"T_lab";19.4
"131";2017-03-28 10:00:00;"Intensified";"HF";"HA";"Out";"HA-OUT";1;"T_lab";10.4
"132";2017-08-29 10:00:00;"Intensified";"HF";"HA";"Out";"HA-OUT";1;"T_lab";20
"133";2017-05-30 10:00:00;"Intensified";"HF";"HA";"Out";"HA-OUT";1;"T_lab";20
"134";2017-01-31 10:00:00;"Intensified";"HF";"HA";"Out";"HA-OUT";1;"T_lab";7.1
"135";2017-05-02 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-10";0.1;"T_lab";11.9
"136";2017-04-04 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-10";0.1;"T_lab";11.8
"137";2017-02-07 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-10";0.1;"T_lab";7.5
"138";2017-03-07 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-10";0.1;"T_lab";12.8
"139";2017-08-08 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-10";0.1;"T_lab";22.1
"140";2017-01-10 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-10";0.1;"T_lab";7.8
"141";2017-06-14 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-10";0.1;"T_lab";20.6
"142";2017-05-16 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-10";0.1;"T_lab";17.4
"143";2017-02-21 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-10";0.1;"T_lab";12.1
"144";2017-08-22 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-10";0.1;"T_lab";19.5
"145";2017-01-24 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-10";0.1;"T_lab";7.7
"146";2017-07-25 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-10";0.1;"T_lab";20.7
"147";2017-06-27 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-10";0.1;"T_lab";20.5
"148";2017-05-30 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-10";0.1;"T_lab";22.4
"149";2017-05-02 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-20";0.2;"T_lab";11.4
"150";2017-04-04 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-20";0.2;"T_lab";11.8
"151";2017-02-07 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-20";0.2;"T_lab";9.9
"152";2017-03-07 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-20";0.2;"T_lab";11.9
"153";2017-08-08 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-20";0.2;"T_lab";22.1
"154";2017-01-10 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-20";0.2;"T_lab";8
"155";2017-06-14 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-20";0.2;"T_lab";20.8
"156";2017-05-16 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-20";0.2;"T_lab";17.8
"157";2017-02-21 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-20";0.2;"T_lab";12.2
"158";2017-08-22 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-20";0.2;"T_lab";19.3
"159";2017-01-24 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-20";0.2;"T_lab";7.9
"160";2017-07-25 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-20";0.2;"T_lab";20.5
"161";2017-06-27 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-20";0.2;"T_lab";20.3
"162";2017-05-30 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-20";0.2;"T_lab";22.7
"163";2017-05-02 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-40";0.4;"T_lab";11.6
"164";2017-04-04 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-40";0.4;"T_lab";11.7
"165";2017-02-07 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-40";0.4;"T_lab";9.4
"166";2017-03-07 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-40";0.4;"T_lab";13.2
"167";2017-08-08 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-40";0.4;"T_lab";22.2
"168";2017-01-10 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-40";0.4;"T_lab";8.4
"169";2017-06-14 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-40";0.4;"T_lab";21.1
"170";2017-05-16 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-40";0.4;"T_lab";17.6
"171";2017-02-21 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-40";0.4;"T_lab";10.3
"172";2017-08-22 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-40";0.4;"T_lab";19.4
"173";2017-01-24 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-40";0.4;"T_lab";7.7
"174";2017-07-25 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-40";0.4;"T_lab";20.5
"175";2017-06-27 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-40";0.4;"T_lab";20.7
"176";2017-05-30 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-40";0.4;"T_lab";23.3
"177";2017-05-02 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-55";0.55;"T_lab";11.4
"178";2017-04-04 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-55";0.55;"T_lab";11.4
"179";2017-02-07 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-55";0.55;"T_lab";8.3
"180";2017-03-07 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-55";0.55;"T_lab";12.4
