"Date";"Parameter";"value"
2013-10-01;"T_air_min";-1.5
2013-11-01;"T_air_min";-5.8
2013-12-01;"T_air_min";-3.9
2014-01-01;"T_air_min";-13.4
2014-02-01;"T_air_min";-5.2
2014-03-01;"T_air_min";-3.8
2014-04-01;"T_air_min";-2.3
2014-05-01;"T_air_min";-0.8
2014-06-01;"T_air_min";3.5
2014-07-01;"T_air_min";6.6
2014-08-01;"T_air_min";6.2
2014-09-01;"T_air_min";3.8
2014-10-01;"T_air_min";0.1
2014-11-01;"T_air_min";-1.6
2014-12-01;"T_air_min";-8.3
2015-01-01;"T_air_min";-5
2015-02-01;"T_air_min";-7.8
2015-03-01;"T_air_min";-5.4
2015-04-01;"T_air_min";-4.2
2015-05-01;"T_air_min";-0.5
2015-06-01;"T_air_min";4.2
2015-07-01;"T_air_min";6.5
2015-08-01;"T_air_min";7.3
2015-09-01;"T_air_min";0
2015-10-01;"T_air_min";-2.5
2015-11-01;"T_air_min";-3.9
2015-12-01;"T_air_min";-3.3
2016-01-01;"T_air_min";-14.8
2016-02-01;"T_air_min";-4.9
2016-03-01;"T_air_min";-4.4
2016-04-01;"T_air_min";-1.4
2016-05-01;"T_air_min";1.2
2016-06-01;"T_air_min";9.1
2016-07-01;"T_air_min";7.2
2016-08-01;"T_air_min";5.8
2016-09-01;"T_air_min";6.1
2016-10-01;"T_air_min";1
2016-11-01;"T_air_min";-6.4
2016-12-01;"T_air_min";-7.4
2017-01-01;"T_air_min";-15.5
2017-02-01;"T_air_min";-7.1
2017-03-01;"T_air_min";-2
2017-04-01;"T_air_min";-4.4
2017-05-01;"T_air_min";0
2017-06-01;"T_air_min";6.2
2017-07-01;"T_air_min";9.8
2017-08-01;"T_air_min";5.9
2010-07-01;"T_air_max";38.9
2010-08-01;"T_air_max";30.1
2010-09-01;"T_air_max";25.5
2010-10-01;"T_air_max";19.7
2010-11-01;"T_air_max";18
2010-12-01;"T_air_max";4.1
2011-01-01;"T_air_max";12.5
2011-02-01;"T_air_max";11
2011-03-01;"T_air_max";18.9
2011-04-01;"T_air_max";26.4
2011-05-01;"T_air_max";32.5
2011-06-01;"T_air_max";32.8
2011-07-01;"T_air_max";30.8
2011-08-01;"T_air_max";32.7
2011-09-01;"T_air_max";30.3
2011-10-01;"T_air_max";27
2011-11-01;"T_air_max";15.8
2011-12-01;"T_air_max";13.6
2012-01-01;"T_air_max";12
2012-02-01;"T_air_max";10.7
2012-03-01;"T_air_max";21.8
2012-04-01;"T_air_max";32.2
2012-05-01;"T_air_max";31.8
2012-06-01;"T_air_max";32.6
2012-07-01;"T_air_max";29.1
2012-08-01;"T_air_max";38
2012-09-01;"T_air_max";31.4
2012-10-01;"T_air_max";23.9
2012-11-01;"T_air_max";12.9
2012-12-01;"T_air_max";14.4
2013-01-01;"T_air_max";12.7
2013-02-01;"T_air_max";7.7
2013-03-01;"T_air_max";11.3
2013-04-01;"T_air_max";25.6
2013-05-01;"T_air_max";25.6
2013-06-01;"T_air_max";33.8
2013-07-01;"T_air_max";36.8
2013-08-01;"T_air_max";36.5
2013-09-01;"T_air_max";30.2
2013-10-01;"T_air_max";23.7
2013-11-01;"T_air_max";16.5
2013-12-01;"T_air_max";11.5
2014-01-01;"T_air_max";12.8
2014-02-01;"T_air_max";15.4
2014-03-01;"T_air_max";21.5
2014-04-01;"T_air_max";24.7
2014-05-01;"T_air_max";30.4
2014-06-01;"T_air_max";35.5
2014-07-01;"T_air_max";37.8
2014-08-01;"T_air_max";32.7
2014-09-01;"T_air_max";30.2
2014-10-01;"T_air_max";24.7
2014-11-01;"T_air_max";19.1
2014-12-01;"T_air_max";13.2
2015-01-01;"T_air_max";14.9
2015-02-01;"T_air_max";11.9
2015-03-01;"T_air_max";17.9
2015-04-01;"T_air_max";22.9
2015-05-01;"T_air_max";27.8
2015-06-01;"T_air_max";32.3
2015-07-01;"T_air_max";39
2015-08-01;"T_air_max";39
2015-09-01;"T_air_max";30.1
2015-10-01;"T_air_max";22.3
2015-11-01;"T_air_max";19.4
2015-12-01;"T_air_max";15.1
2016-01-01;"T_air_max";11.8
2016-02-01;"T_air_max";13.1
2016-03-01;"T_air_max";17.1
2016-04-01;"T_air_max";22.1
2016-05-01;"T_air_max";30.8
2016-06-01;"T_air_max";35.4
2016-07-01;"T_air_max";33.7
2016-08-01;"T_air_max";36.2
2016-09-01;"T_air_max";34.6
2016-10-01;"T_air_max";20.6
2016-11-01;"T_air_max";16.1
2016-12-01;"T_air_max";11.7
2017-01-01;"T_air_max";7.9
2017-02-01;"T_air_max";14.2
2017-03-01;"T_air_max";24.1
2017-04-01;"T_air_max";23.4
2017-05-01;"T_air_max";31.7
2017-06-01;"T_air_max";32.7
2017-07-01;"T_air_max";33.2
2017-08-01;"T_air_max";33
2010-07-01;"humidity_rel";66.9844336084021
2010-08-01;"humidity_rel";81.8678046653586
2010-09-01;"humidity_rel";83.1231481481481
2010-10-01;"humidity_rel";84.413082437276
2010-11-01;"humidity_rel";91.5176228798892
2010-12-01;"humidity_rel";92.1265681003584
2011-01-01;"humidity_rel";91.7177943643712
2011-02-01;"humidity_rel";84.8474852693603
2011-03-01;"humidity_rel";77.0745967741936
2011-04-01;"humidity_rel";73.9053240740741
2011-05-01;"humidity_rel";66.464605734767
2011-06-01;"humidity_rel";67.5171296296296
2011-07-01;"humidity_rel";75.9381720430108
2011-08-01;"humidity_rel";79.2139216575923
2011-09-01;"humidity_rel";81.5266203703704
2011-10-01;"humidity_rel";86.144041218638
2011-11-01;"humidity_rel";91.6139504014504
2011-12-01;"humidity_rel";86.3971134152586
2012-01-01;"humidity_rel";88.4556451612903
2012-02-01;"humidity_rel";83.9967002057686
2012-03-01;"humidity_rel";79.6971994535519
2012-04-01;"humidity_rel";72.3300150519978
2012-05-01;"humidity_rel";65.7761200716846
2012-06-01;"humidity_rel";76.062037037037
2012-07-01;"humidity_rel";80.6215277777778
2012-08-01;"humidity_rel";71.2107534065652
2012-09-01;"humidity_rel";74.7106646825397
2012-10-01;"humidity_rel";84.5064964157706
2012-11-01;"humidity_rel";91.3702454113405
2012-12-01;"humidity_rel";89.5990174699852
2013-01-01;"humidity_rel";89.8960573476703
2013-02-01;"humidity_rel";93.1603663976776
2013-03-01;"humidity_rel";83.8963955026455
2013-04-01;"humidity_rel";77.3034722222222
2013-05-01;"humidity_rel";82.5558635752688
2013-06-01;"humidity_rel";79.1278735632184
2013-07-01;"humidity_rel";71.4240591397849
2013-08-01;"humidity_rel";72.1323924731183
2013-09-01;"humidity_rel";82.7483796296296
2013-10-01;"humidity_rel";83.8524873424067
2013-11-01;"humidity_rel";92.1589481796273
2013-12-01;"humidity_rel";88.8807534653308
2014-01-01;"humidity_rel";91.7802419354839
2014-02-01;"humidity_rel";82.2802579365079
2014-03-01;"humidity_rel";82.4648297491039
2014-04-01;"humidity_rel";79.4266203703704
2014-05-01;"humidity_rel";79.5804211469534
2014-06-01;"humidity_rel";73.5592592592593
2014-07-01;"humidity_rel";73.9326507484714
2014-08-01;"humidity_rel";78.9707217736842
2014-09-01;"humidity_rel";86.9537962962963
2014-10-01;"humidity_rel";90.2710955690945
2014-11-01;"humidity_rel";93.161427360459
2014-12-01;"humidity_rel";90.0192067944522
2015-01-01;"humidity_rel";89.3356449984765
2015-02-01;"humidity_rel";87.0028890497641
2015-03-01;"humidity_rel";80.8895811382545
2015-04-01;"humidity_rel";73.3634259259259
2015-05-01;"humidity_rel";68.323252688172
2015-06-01;"humidity_rel";70.8340277777778
2015-07-01;"humidity_rel";68.8812724014337
2015-08-01;"humidity_rel";71.7112134567282
2015-09-01;"humidity_rel";81.9979166666667
2015-10-01;"humidity_rel";89.929435483871
2015-11-01;"humidity_rel";87.3833333333333
2015-12-01;"humidity_rel";87.594258800063
2016-01-01;"humidity_rel";90.2181899641577
2016-02-01;"humidity_rel";86.1970785440613
2016-03-01;"humidity_rel";85.2520161290323
2016-04-01;"humidity_rel";77.9498842592593
2016-05-01;"humidity_rel";71.0846774193548
2016-06-01;"humidity_rel";76.4691148720394
2016-07-01;"humidity_rel";71.5454749103943
2016-08-01;"humidity_rel";73.4186827956989
2016-09-01;"humidity_rel";73.7053240740741
2016-10-01;"humidity_rel";92.6861559139785
2016-11-01;"humidity_rel";91.4179398148148
2016-12-01;"humidity_rel";91.6319444444444
2017-01-01;"humidity_rel";90.9115703405018
2017-02-01;"humidity_rel";86.2688492063492
2017-03-01;"humidity_rel";80.2457437275986
2017-04-01;"humidity_rel";77.3599537037037
2017-05-01;"humidity_rel";73.4323476702509
2017-06-01;"humidity_rel";72.312962962963
2017-07-01;"humidity_rel";76.4158784680738
2017-08-01;"humidity_rel";75.3203405017921
2010-07-01;"wind_speed_mean";1.06310119196466
2010-08-01;"wind_speed_mean";1.84475168436679
2010-09-01;"wind_speed_mean";1.98090277777778
2010-10-01;"wind_speed_mean";1.90526433691756
